transmission_id,station_id,date_utc,time_utc,frequency_khz,slot_position,message_type,observed_numeric_structure,notes,source_url
tx-e03-mon-1200,station-e03,,12:00,14487,1 of Monday sequence,scheduled slot,3 listed frequencies in one slot; part of regular daily pattern,Based on archived schedule summary,https://priyom.org/number-stations/english/e03/schedule
tx-e03-mon-2100,station-e03,,21:00,9251,late slot,scheduled slot,repeat-style scheduling across evening block,Useful for schedule-pattern analysis,https://priyom.org/number-stations/english/e03/schedule
tx-hm01-generic-1,station-hm01,,,,daily rotating slot,message rotation,"counter starts at 1 for new message, remains 1 on second day, increments from day three onward",Derived from station operation notes,https://priyom.org/number-stations/digital/hm01
tx-v07-cycle-1,station-v07,,,,first of three,full or null message,3 identical transmissions 20 minutes apart; third omitted for null message,Core structural feature of V07,https://priyom.org/number-stations/other/v07
tx-v07-2026-02-08,station-v07,2026-02-08,,,Sunday schedule entry,full message,Header plus long sequence of 5-digit groups logged on Priyom,Useful seed for deeper parsing,https://priyom.org/number-stations/other/v07/sunday
tx-e07-generic-1,station-e07,,,,recurring active slot,scheduled slot,fixed-size groups with repeated call-up style in active traffic,seed row for E07 comparative logging,https://priyom.org/number-stations/english/e07
tx-v02a-generic-1,station-v02a,,,,routine window,full message,header identifier plus group count followed by grouped body,seed row for V02a header studies,https://priyom.org/number-stations/other/v02a
tx-m12-historic-1,station-m12,,,,historic slot,coded message,grouped Morse payload with repeat-capable structure,seed row for cross-mode motif comparison,https://priyom.org/number-stations/morse/m12
tx-xpa-generic-1,station-xpa,,,,active cluster,full message,recurring call-sign family and variable group count,seed row for call-sign distribution analysis,https://priyom.org/number-stations/other/xpa
tx-sk01-generic-1,station-sk01,,,,intermittent burst,hybrid session,machine-like boundary markers and mixed digital/voice behavior,seed row for hybrid marker tagging,https://priyom.org/number-stations/digital/sk01
